AT	V	AP	RH	PE
8.48	42.49	1010.77	88.68	483.5
10.36	37.83	1005.87	98.56	472.62
10.27	41.44	1017.04	77.09	479.3
5.89	35.77	1019.78	79.58	479.86
15.09	40.89	1010.15	92	466.47
17.88	45.87	1008.39	93.63	455.83
14.6	42.32	1015.71	77.03	464.67
14.29	39.59	1012.36	92.38	463.13
11.61	52.75	1020.94	77.56	464.68
12.1	44.77	1019.1	75.85	463.11
16.68	53.16	1014.32	78.02	456.29
17.36	41.23	998.08	63.46	459.1
13.67	38.53	1009.3	81.85	470.39
18.59	65.06	1015.75	80.72	450.4
14.59	35.71	1015.19	54.13	469.32
19.18	65.06	1015.99	77.06	448.26
15.7	42.99	1007.51	76.05	464.59
11.02	40	1015.75	74.83	468.09
8.81	44.68	1023.06	93.93	479.24
16.2	65.46	1013.97	89.84	451.86
11.41	40.1	1014.27	91.17	476.81
19.83	51.19	1008.13	91.29	449
10.52	42.18	1014.9	95.67	469.03
11.44	41.39	1019.59	79.95	478.52
6.63	39.37	1020.33	76.18	489.16
10.6	40.22	1011.37	85.81	477.62
20.19	62.26	1011.37	89.69	443.58
10.68	37.92	1009.59	65.05	474.03
13.86	37.85	1011.4	89.7	469.94
10.25	41.26	1007.44	98.08	476.03
6.81	37.49	1010.74	88.25	482.21
11.64	40.22	1010.58	80.84	477.52
17.98	39.63	1005.42	82.12	466.69
11.53	41.14	1025.63	88.54	469.04
14.02	41.78	1011.26	48.62	465.87
16.42	40.56	1020.36	50.62	472.17
17.2	40.55	1000.68	72.67	462.55
18.84	67.32	1012.63	81.89	449.21
10.2	41.46	1020.23	84.54	481.46
8.66	41.01	1022.51	98.55	472.16
12.05	48.04	1009.14	100.13	464.14
13.8	45.08	1023.99	79.72	466.71
16.79	44.6	1014.27	48.08	459.48
15.15	41.35	1006.3	86.16	468.64
14.41	40.83	1009.82	80.43	470.13
10.44	37.83	1006.31	97.2	474.42
10.06	39.61	1018.22	70.22	471.86
3.85	35.47	1016.78	85.31	489.78
15.5	39.16	1016.24	78.13	469.52
13.16	43.71	1024.44	85.68	469.06
16.18	50.88	1014.06	100.09	455.14
14.8	44.21	1021.59	89.24	466.21
19.57	68.61	1011.13	96.4	448.73
5.17	39.33	1009.68	94.19	485.46
15.34	41.96	1012.08	100.12	468.33
14.54	46.18	1015.29	94.48	463.03
10.16	41.79	1021.35	52.4	472.75
17.37	48.92	1011.91	58.4	455.53
15.63	44.9	1009.38	82.8	457.44
6.4	41.17	1019.54	85.37	488.82
10.32	42.02	998.27	99.12	472.16
12.93	36.71	1013.22	83.44	472.42
10.15	41.46	1019.78	83.56	481.31
15.89	38.73	1001.45	74.37	465.76
19.01	58.46	1017.14	90.99	446.18
14.45	39.58	1012.41	79	467.62
13.55	40.1	1014.57	81.48	469.57
19.83	59.44	1012.98	91.24	446.15
7.29	41.04	1024.06	89.19	474.71
11.26	39.35	1015.47	99.28	471.83
8.33	39.72	1020.24	82.84	479.12
9.63	43.02	1012.4	68.41	480.21
13.88	39.16	1010.8	75.69	464.37
18.16	43.96	1012.78	78.33	465.26
11.73	37.92	1008.24	65.13	472.04
